"ID","SexEstimate","BirthYear","MumID"
 758,, 1995,
 759,, 1995,
 760,, 1998,
 761, 1, 1994,
 762, 1, 1995,
 763, 1, 1994,
 764, 1, 1994,
 765, 1, 1994,
 766, 0, 1994,
 767, 0, 1994,
 768, 0, 1994,
 769, 0, 1994,
 770, 0, 1994,
 771, 0, 1994,
 772, 1, 1995,
 773, 0, 1995,
 774, 0, 1994,
 775, 0, 1994,
 776, 1, 1994,
 777, 0, 1994,
 778, 1, 1994,
 779,, 1994,
 780, 0, 1994,
 781, 1, 1994,
 782, 0, 1995,
 783, 0, 1994,
 784, 1, 1994,
 785, 1, 1995,
 786, 1, 1994,
 787, 0, 1994,
 788, 0, 1981,
 789, 0, 1980,
 790, 0, 1980,
 791, 0, 1980,
 792, 0, 1982,
 793, 1, 1981,
 794, 0, 1982,
 795, 1, 1981,
 796, 0, 1981,
 797, 0, 1982,
 798,, 1982,
 799, 0, 1982,
 800, 0, 1983,
 801,, 1994,
 802,, 1994,
 803,, 1994,
 804,, 1994,
 805, 0, 1994,
 806,, 1995,
 807,, 1995,
 808, 1, 1995,
 809, 1, 1994,
 810,, 1995,
 811,, 1995,
 812, 1, 1995,
 813,, 1995,
 814,, 1995,
 815, 0, 1996,
 816, 0, 1995,
 817,, 1995,
 818, 1, 1996,
 819, 1, 1996,
 820, 1, 1995,
 821, 0, 1998,
 823, 0, 1994,
 824, 1, 1994,
 825, 0, 1994,
 826, 0, 1994,
 827, 0, 1994,
 828, 1, 1994,
 829, 0, 1995,
 830, 1, 1994,
 831, 1, 1994,
 832, 0, 1994,
 833, 0, 1994,
 834, 1, 1994,
 835, 0, 1994,
 836, 1, 1994,
 837, 1, 1994,
 838, 0, 1994,
 839, 0, 1995,
 840, 0, 1994,
 841, 0, 1995,
 842, 1, 1994,
 843, 0, 1994,
 844, 0, 1994,
 845, 0, 1994,
 846, 1, 1994,
 847, 1, 1994,
 848, 0, 1994,
 849, 1, 1994,
 850, 0, 1994,
 851, 1, 1994,
 852, 1, 1994,
 853, 0, 1994,
 854, 1, 1994,
 855, 0, 1994,
